profile_link,bar_court
https://www.whitecase.com/people/lee-carroll,Supreme Court of Victoria
https://www.whitecase.com/people/andrew-clark,Barrister and Solicitor of the Supreme Court of Victoria
https://www.whitecase.com/people/ged-cochrane,Supreme Court of Victoria
https://www.whitecase.com/people/ged-cochrane,High Court of Australia
https://www.whitecase.com/people/aldrin-de-zilva,Supreme Court of Victoria
https://www.whitecase.com/people/aldrin-de-zilva,High Court of Australia
https://www.whitecase.com/people/joanne-draper,High Court of Australia
https://www.whitecase.com/people/joanne-draper,Supreme Court of Australia
https://www.whitecase.com/people/christopher-flynn,Supreme Court of New South Wales
https://www.whitecase.com/people/christopher-flynn,High Court of Australia
https://www.whitecase.com/people/christopher-flynn,England and Wales
https://www.whitecase.com/people/michelle-keen,Supreme Court of Victoria
https://www.whitecase.com/people/michelle-keen,High Court of Australia
https://www.whitecase.com/people/tim-kennedy,Supreme Court of New South Wales
https://www.whitecase.com/people/jared-muller,Supreme Court of Victoria
https://www.whitecase.com/people/jared-muller,High Court of Australia
https://www.whitecase.com/people/nirangjan-nagarajah,Supreme Court of Victoria
https://www.whitecase.com/people/nirangjan-nagarajah,High Court of Australia
https://www.whitecase.com/people/candice-ota,Supreme Court of Victoria
https://www.whitecase.com/people/candice-ota,New York State Bar
https://www.whitecase.com/people/adeline-pang,Supreme Court of Victoria
https://www.whitecase.com/people/adeline-pang,High Court of Australia
https://www.whitecase.com/people/kate-perumal,Supreme Court of New South Wales
https://www.whitecase.com/people/tim-power,High Court of Australia
https://www.whitecase.com/people/tim-power,Supreme Court of Victoria
https://www.whitecase.com/people/tim-power,Supreme Court of South Australia
https://www.whitecase.com/people/brendan-quinn,Supreme Court of Victoria
https://www.whitecase.com/people/joel-rennie,Supreme Court of New South Wales
https://www.whitecase.com/people/joel-rennie,England and Wales
https://www.whitecase.com/people/joel-rennie,Supreme Court of Western Australia
https://www.whitecase.com/people/joel-rennie,High Court of Australia
https://www.whitecase.com/people/alan-rosengarten,High Court of Australia
https://www.whitecase.com/people/alan-rosengarten,Supreme Court of Victoria
https://www.whitecase.com/people/josh-sgro,Supreme Court of England and Wales
https://www.whitecase.com/people/josh-sgro,Supreme Court of Victoria
https://www.whitecase.com/people/josh-sgro,High Court of Australia
https://www.whitecase.com/people/brad-strahorn,Supreme Court of New South Wales
https://www.whitecase.com/people/brad-strahorn,High Court of Australia
https://www.whitecase.com/people/john-tivey,"Registered Foreign Lawyer, The Law Society of Hong Kong"
https://www.whitecase.com/people/john-tivey,High Court of Australia
https://www.whitecase.com/people/john-tivey,Supreme Court of Victoria
https://www.whitecase.com/people/john-tivey,"Supreme Court of New South Wales, Australia"
https://www.whitecase.com/people/cameron-watson,High Court of Australia
https://www.whitecase.com/people/cameron-watson,Supreme Court of New South Wales
https://www.whitecase.com/people/cameron-watson,Supreme Court of Victoria
https://www.whitecase.com/people/cameron-watson,High Court of New Zealand
https://www.whitecase.com/people/cameron-watson,New York State Bar
https://www.whitecase.com/people/mark-montag,Supreme Court of Victoria
https://www.whitecase.com/people/mark-montag,Supreme Court of New South Wales
https://www.whitecase.com/people/mark-montag,High Court of Australia
https://www.whitecase.com/people/andrea-castle,Supreme Court of Victoria
