profile_link,education
https://www.whitecase.com/people/lee-carroll,BCL University of Oxford
https://www.whitecase.com/people/lee-carroll,LLB University of Western Australia
https://www.whitecase.com/people/lee-carroll,BA University of Western Australia
https://www.whitecase.com/people/andrew-clark,LLB (Hons) University of Melbourne
https://www.whitecase.com/people/andrew-clark,BComm (Hons) University of Melbourne
https://www.whitecase.com/people/ged-cochrane,LLB (Hons) Monash University
https://www.whitecase.com/people/ged-cochrane,BA Monash University
https://www.whitecase.com/people/aldrin-de-zilva,Masters of Taxation (Hons) Melbourne University
https://www.whitecase.com/people/aldrin-de-zilva,LLB (Hons) Melbourne University
https://www.whitecase.com/people/aldrin-de-zilva,Bachelor of Commerce (Hons) Melbourne University
https://www.whitecase.com/people/joanne-draper,Graduate Certificate in Applied Finance and Investment Institute of Australasia (FINSIA)
https://www.whitecase.com/people/joanne-draper,LLB (Honours) /BComm (Honours) Monash University
https://www.whitecase.com/people/christopher-flynn,Masters of Letters University of St Andrews Chevening Scholar
https://www.whitecase.com/people/christopher-flynn,Master of Laws University of Sydney
https://www.whitecase.com/people/christopher-flynn,Ambassadorial Scholar Universidad de Salamanca
https://www.whitecase.com/people/christopher-flynn,Bachelor of Laws (Hons) Griffith University
https://www.whitecase.com/people/christopher-flynn,Bachelor of Commerce Griffith University
https://www.whitecase.com/people/michelle-keen,LLM Environmental Australian National University
https://www.whitecase.com/people/michelle-keen,LLB Monash University
https://www.whitecase.com/people/michelle-keen,BA Environmental Science Monash University
https://www.whitecase.com/people/tim-kennedy,"LLM Christ's College, Cambridge"
https://www.whitecase.com/people/tim-kennedy,"LLB, BCom University of Adelaide South Australia"
https://www.whitecase.com/people/jared-muller,LLB/BBus Queensland University of Technology
https://www.whitecase.com/people/nirangjan-nagarajah,LLB Macquarie University
https://www.whitecase.com/people/nirangjan-nagarajah,Bachelor of Commerce Macquarie University
https://www.whitecase.com/people/candice-ota,LLB (Hons) Monash University
https://www.whitecase.com/people/candice-ota,BA Monash University
https://www.whitecase.com/people/adeline-pang,LLM University of Melbourne
https://www.whitecase.com/people/adeline-pang,LLB Monash University
https://www.whitecase.com/people/adeline-pang,BComm Monash University
https://www.whitecase.com/people/kate-perumal,Master of Business Admin Australian Graduate School of Management
https://www.whitecase.com/people/kate-perumal,Master of Law University of New South Wales
https://www.whitecase.com/people/kate-perumal,Bachelor of Laws (Hons I) University of Technology Sydney
