profile_link,language
https://www.whitecase.com/people/lee-carroll,English
https://www.whitecase.com/people/lee-carroll,French
https://www.whitecase.com/people/andrew-clark,English
https://www.whitecase.com/people/ged-cochrane,English
https://www.whitecase.com/people/aldrin-de-zilva,English
https://www.whitecase.com/people/joanne-draper,English
https://www.whitecase.com/people/christopher-flynn,English
https://www.whitecase.com/people/christopher-flynn,Spanish
https://www.whitecase.com/people/michelle-keen,English
https://www.whitecase.com/people/tim-kennedy,English
https://www.whitecase.com/people/jared-muller,English
https://www.whitecase.com/people/nirangjan-nagarajah,English
https://www.whitecase.com/people/candice-ota,English
https://www.whitecase.com/people/adeline-pang,English
https://www.whitecase.com/people/kate-perumal,English
https://www.whitecase.com/people/tim-power,English
https://www.whitecase.com/people/brendan-quinn,English
https://www.whitecase.com/people/joel-rennie,English
https://www.whitecase.com/people/alan-rosengarten,English
https://www.whitecase.com/people/josh-sgro,English
https://www.whitecase.com/people/brad-strahorn,English
https://www.whitecase.com/people/john-tivey,English
https://www.whitecase.com/people/cameron-watson,English
https://www.whitecase.com/people/mark-montag,English
https://www.whitecase.com/people/andrea-castle,English
https://www.whitecase.com/people/hilary-cure,English
https://www.whitecase.com/people/fiona-curl,English
https://www.whitecase.com/people/tim-neilson,English
https://www.whitecase.com/people/david-opperman,English
https://www.whitecase.com/people/amanda-osuchowski,English
https://www.whitecase.com/people/dan-paolini,English
https://www.whitecase.com/people/andrea-reeves,English
https://www.whitecase.com/people/nicholas-rouse,English
https://www.whitecase.com/people/tara-agoston,English
https://www.whitecase.com/people/tara-agoston,Bosnian
https://www.whitecase.com/people/tara-agoston,Serbian
https://www.whitecase.com/people/tara-agoston,Croatian
https://www.whitecase.com/people/irene-argeres,English
https://www.whitecase.com/people/andrew-baker,English
https://www.whitecase.com/people/emanuel-blum,English
https://www.whitecase.com/people/kirsty-campbell,English
https://www.whitecase.com/people/henry-carlson,English
https://www.whitecase.com/people/henry-carlson,French
https://www.whitecase.com/people/stephen-carlton,English
https://www.whitecase.com/people/kevin-chen,English
https://www.whitecase.com/people/ashleigh-cole,English
https://www.whitecase.com/people/kristian-cywicki,English
https://www.whitecase.com/people/isabela-deveza,English
https://www.whitecase.com/people/isabela-deveza,Portuguese
https://www.whitecase.com/people/emma-dobb,English
https://www.whitecase.com/people/chenez-dyer-bray,English
https://www.whitecase.com/people/dion-english,English
https://www.whitecase.com/people/alexis-fong,English
https://www.whitecase.com/people/alexis-fong,Mandarin
https://www.whitecase.com/people/jennifer-galatas,English
https://www.whitecase.com/people/ostiane-goh-livorness,English
https://www.whitecase.com/people/kirsty-ha,English
https://www.whitecase.com/people/kirsty-ha,Cantonese
https://www.whitecase.com/people/jessie-huynh,English
https://www.whitecase.com/people/jessie-huynh,Vietnamese
https://www.whitecase.com/people/danielle-ingham,English
https://www.whitecase.com/people/isabella-jarrett,English
https://www.whitecase.com/people/ruveena-kaliannan,English
https://www.whitecase.com/people/mai-kuroda,English
https://www.whitecase.com/people/mai-kuroda,Japanese
https://www.whitecase.com/people/paul-marshall,English
https://www.whitecase.com/people/andrew-mason,English
https://www.whitecase.com/people/barnaby-matthews,English
https://www.whitecase.com/people/naomi-midha,English
https://www.whitecase.com/people/naomi-midha,Hindi
https://www.whitecase.com/people/kian-newlyn,English
https://www.whitecase.com/people/sarah-oh,English
https://www.whitecase.com/people/sarah-oh,Korean
https://www.whitecase.com/people/daniel-oneil,English
https://www.whitecase.com/people/marco-paoletti,English
https://www.whitecase.com/people/jacqui-pavlidis,English
https://www.whitecase.com/people/suzie-porritt,English
https://www.whitecase.com/people/girish-rao,English
https://www.whitecase.com/people/matt-sercombe,English
https://www.whitecase.com/people/ned-simpson,English
https://www.whitecase.com/people/kirsten-sugden,English
https://www.whitecase.com/people/nicolette-tan,English
https://www.whitecase.com/people/zachary-tyler,English
https://www.whitecase.com/people/zachary-tyler,Mandarin
https://www.whitecase.com/people/chris-wallace,English
https://www.whitecase.com/people/courtney-white,English
https://www.whitecase.com/people/yushu-xie,English
https://www.whitecase.com/people/yushu-xie,Cantonese
https://www.whitecase.com/people/yushu-xie,Mandarin
https://www.whitecase.com/people/samuel-scoles,English
https://www.whitecase.com/people/samuel-scoles,French
https://www.whitecase.com/people/samuel-scoles,Indonesian
https://www.whitecase.com/people/samuel-scoles,Thai
https://www.whitecase.com/people/anita-hormis,English
https://www.whitecase.com/people/anna-oreilly,English
https://www.whitecase.com/people/juraj-fuska,Czech
https://www.whitecase.com/people/juraj-fuska,English
https://www.whitecase.com/people/juraj-fuska,German
https://www.whitecase.com/people/juraj-fuska,Slovak
https://www.whitecase.com/people/zoran-draskovic,English
https://www.whitecase.com/people/zoran-draskovic,French
